,0
447,1182.99
448,1190.25
449,1186.1899
450,1187.89
451,1183.74
452,1188.05
453,1202.08
454,1211.92
455,1213.55
456,1213.45
457,1213.54
458,1204.92
459,1210.13
460,1209.5699
461,1205.45
462,1194.65
463,1194.2
464,1203.21
465,1205.72
466,1203.38
467,1198.6801
468,1188.0
469,1189.24
470,1182.8101
471,1177.0699
472,1190.25
473,1191.17
474,1190.33
475,1191.37
476,1173.78
477,1178.5699
478,1182.65
479,1181.76
480,1176.9399
481,1177.24
482,1170.34
483,1183.55
484,1181.9399
485,1175.4301
486,1183.8101
487,1184.17
488,1173.48
489,1162.91
490,1164.08
491,1164.89
492,1166.17
493,1161.67
494,1143.2
495,1130.54
496,1130.51
497,1130.2
498,1127.4399
499,1125.34
500,1111.09
501,1094.8101
502,1095.74
503,1106.49
504,1103.66
505,1103.23
506,1114.02
507,1108.2
508,1103.29
509,1113.65
510,1121.84
511,1124.39
512,1122.14
513,1130.65
514,1142.05
515,1134.48
516,1135.17
517,1131.5
518,1114.58
519,1114.8
520,1110.0601
521,1103.52
522,1110.11
523,1108.36
524,1113.5601
525,1129.3
526,1122.2
527,1128.55
528,1123.5
529,1120.37
530,1128.33
531,1125.8199
532,1123.92
533,1118.38
534,1116.27
535,1121.3
536,1113.63
537,1118.3101
538,1105.91
539,1104.24
540,1099.15
541,1107.77
542,1105.09
543,1104.96
544,1096.1899
545,1095.6801
546,1098.35
547,1091.23
548,1095.17
549,1081.71
550,1079.34
551,1064.8
552,1063.23
553,1075.79
554,1079.04
555,1065.22
556,1063.97
557,1080.7
558,1098.63
559,1099.6899
560,1106.62
561,1101.72
562,1100.4301
563,1095.42
564,1094.83
565,1084.0699
566,1086.2
567,1096.84
568,1093.88
569,1108.67
570,1100.9
571,1101.39
572,1106.6899
573,1111.47
574,1115.14
575,1114.35
576,1112.8101
577,1109.11
578,1118.33
579,1116.21
580,1125.38
581,1128.9399
582,1140.84
583,1136.2
584,1133.35
585,1134.4301
586,1140.65
587,1144.0601
588,1134.41
589,1130.3
590,1135.02
591,1132.05
592,1133.5601
593,1132.01
594,1125.29
595,1136.47
596,1131.33
597,1142.1801
598,1140.42
599,1122.5
600,1116.64
601,1124.99
602,1121.2
603,1120.6801
604,1121.28
605,1114.9399
606,1113.05
607,1095.41
608,1093.5601
609,1089.1899
610,1088.6801
611,1091.49
612,1084.1
613,1095.7
614,1096.4399
615,1097.28
616,1095.45
617,1087.12
618,1098.7
619,1113.99
620,1121.53
621,1119.55
622,1117.49
623,1107.3
624,1113.89
625,1122.41
626,1138.11
627,1135.53
628,1140.6
629,1139.9301
630,1124.09
631,1118.15
632,1135.8199
633,1134.5601
634,1128.84
635,1128.17
636,1129.4399
637,1145.2
638,1139.3199
639,1140.53
640,1148.16
641,1150.5699
642,1141.8101
643,1132.17
644,1126.21
645,1127.0
646,1122.47
647,1108.0601
648,1109.1899
649,1091.33
650,1093.95
651,1095.4
652,1109.78
653,1122.3199
654,1123.75
655,1110.7
656,1104.49
657,1120.5699
658,1106.78
659,1123.89
660,1140.58
661,1147.2
662,1156.86
663,1154.87
664,1151.03
665,1149.1
666,1155.97
667,1144.9399
668,1145.8
669,1143.67
670,1139.09
671,1140.99
672,1144.11
673,1147.0601
674,1151.8199
675,1156.99
676,1145.8101
677,1152.11
678,1157.76
679,1145.54
680,1139.8101
681,1142.76
682,1128.59
683,1126.52
684,1136.03
685,1135.26
686,1131.13
687,1134.11
688,1128.48
689,1144.05
690,1155.37
691,1141.55
692,1143.9399
693,1147.62
694,1138.77
695,1139.83
696,1132.05
697,1130.52
698,1121.22
699,1127.23
700,1121.86
701,1131.92
702,1126.33
703,1123.67
704,1122.22
705,1108.48
706,1111.92
707,1109.64
708,1109.48
709,1095.89
710,1094.04
711,1096.02
712,1092.9399
713,1088.66
714,1089.1801
715,1076.48
716,1075.13
717,1068.04
718,1074.14
719,1071.21
720,1059.05
721,1060.1801
722,1069.3
723,1061.5
724,1069.72
725,1064.73
726,1066.62
727,1070.12
728,1058.2
729,1058.45
730,1053.89
731,1052.08
732,1035.28
733,1033.65
734,1042.4399
735,1034.15
736,1043.63
737,1050.35
738,1058.41
739,1058.5601
740,1046.5699
741,1047.11
742,1053.21
743,1058.05
744,1051.8101
745,1053.25
746,1059.02
747,1050.71
748,1046.9399
749,1048.11
750,1046.79
751,1031.13
752,1028.91
753,1033.77
754,1030.36
755,1046.03
756,1044.6801
757,1039.3199
758,1050.0699
759,1046.76
760,1049.48
761,1045.35
762,1038.0601
763,1038.73
764,1033.78
765,1039.25
766,1034.35
767,1029.85
768,1020.24
769,1018.22
770,995.97
771,1006.58
772,996.85
773,1003.27
774,1009.38
775,1029.03
776,1022.82
777,1036.3
778,1039.58
779,1025.97
780,1029.3199
781,1014.81
782,1018.63
783,1016.42
784,1010.92
785,1023.17
786,1031.64
787,1021.39
788,1027.97
789,1026.27
790,1021.99
791,1008.01
792,1002.84
793,996.79
794,996.73
795,993.71
796,993.06
797,1003.27
798,1000.3
799,1002.35
800,999.74
801,990.67
802,990.51
803,984.03
804,990.35
805,980.59
806,977.59
807,974.12
808,967.08
809,965.46
810,982.82
811,980.15
812,990.31
813,987.49
814,989.28
815,996.52
816,998.68
817,981.6
818,988.61
819,988.11
820,978.8
821,993.32
822,981.73
823,994.0
824,1000.42
825,1003.86
826,998.14
827,988.7
828,1002.21
829,1007.84
830,1004.42
831,985.7
832,993.75
833,982.32
834,974.5
835,976.22
836,985.82
837,975.32
838,983.45
839,981.64
840,995.69
841,994.7
842,1010.09
843,1011.66
844,1010.74
845,988.61
846,998.51
847,997.48
848,984.84
849,975.93
850,987.76
851,990.14
852,986.24
853,971.56
854,967.0
855,963.59
856,949.64
857,953.22
858,951.48
859,933.22
860,931.87
861,923.42
862,919.73
863,920.77
864,944.3
865,946.67
866,939.28
867,942.3
868,945.11
869,933.41
870,920.27
871,929.62
872,934.39
873,926.55
874,930.08
875,916.3
876,916.92
877,917.84
878,914.84
879,898.81
880,911.43
881,919.02
882,911.37
883,892.01
884,893.58
885,879.91
886,890.81
887,885.23
888,868.3
889,871.58
890,865.99
891,878.29
892,879.93
893,878.85
894,876.45
895,880.9
896,858.48
897,848.18
898,863.5
899,868.52
900,869.95
901,874.74
902,864.23
903,895.79
904,875.84
905,874.02
906,866.45
907,862.79
908,833.27
909,831.89
910,804.19
911,800.73
912,807.48
913,828.89
914,822.1
915,829.85
916,821.99
917,834.81
918,841.15
919,837.28
920,827.55
921,838.57
922,832.58
923,848.17
924,837.1
925,845.13
926,851.17
927,834.89
928,817.37
929,818.68
930,829.2
931,835.97
932,829.69
933,838.15
934,843.59
935,848.2
936,860.32
937,855.7
938,844.61
939,864.36
940,858.54
941,847.48
942,861.4
943,887.34
944,878.36
945,887.62
946,901.78
947,914.6
948,918.22
949,931.66
950,926.26
951,927.57
952,927.58
953,909.93
954,922.93
955,929.01
956,908.59
957,909.03
958,879.82
959,879.39
960,875.4
961,889.66
962,892.47
963,897.38
964,895.74
965,884.25
966,890.02
967,902.99
968,910.4
969,889.48
970,901.58
971,904.96
972,904.45
973,892.0
974,912.23
975,906.55
976,917.58
977,920.75
978,934.53
979,936.31
980,938.87
981,913.31
982,932.87
983,930.55
984,933.76
985,914.15
986,896.74
987,900.36
988,909.83
989,904.27
990,882.53
991,882.95
992,876.19
993,894.74
994,902.65
995,923.76
996,915.39
997,908.35
998,900.96
999,885.76
1000,890.71
1001,882.15
1002,890.23
1003,897.65
1004,882.5
1005,896.14
1006,890.16
1007,899.72
1008,884.39
1009,879.2
1010,860.02
1011,881.27
1012,841.44
1013,835.32
1014,803.92
1015,776.76
1016,798.55
1017,785.28
1018,800.58
1019,818.95
1020,827.91
1021,843.77
1022,815.28
1023,827.37
1024,854.95
1025,839.66
1026,819.27
1027,833.7
1028,845.39
1029,843.32
1030,869.46
1031,873.52
1032,891.1
1033,889.81
1034,886.91
1035,909.45
1036,910.63
1037,902.96
1038,893.92
1039,879.15
1040,893.4
1041,878.02
1042,916.07
1043,917.8
1044,917.87
1045,934.82
1046,947.95
1047,940.86
1048,962.7
1049,949.36
1050,937.43
1051,950.7
1052,928.77
1053,930.25
1054,919.62
1055,884.21
1056,903.8
1057,908.64
1058,898.73
1059,876.77
1060,859.57
1061,834.6
1062,864.24
1063,884.4
1064,911.62
1065,902.78
1066,898.96
1067,852.84
1068,838.68
1069,843.42
1070,797.71
1071,819.85
1072,847.76
1073,881.56
1074,905.45
1075,901.05
1076,917.93
1077,921.39
1078,927.37
1079,920.47
1080,952.83
1081,976.98
1082,989.03
1083,953.99
1084,948.09
1085,968.65
1086,989.82
1087,990.64
1088,973.53
1089,976.14
1090,992.72
1091,989.14
1092,1006.29
1093,1019.99
1094,1037.14
1095,1036.17
1096,1007.27
1097,1009.56
1098,1020.26
1099,1013.26
1100,1030.74
1101,1027.53
1102,1029.15
1103,1049.9
1104,1040.6899
1105,1040.6801
1106,1067.14
1107,1064.66
1108,1067.66
1109,1074.55
1110,1083.8199
1111,1097.08
1112,1086.02
1113,1079.88
1114,1091.88
1115,1106.59
1116,1098.23
1117,1091.0699
1118,1097.28
1119,1074.5601
1120,1054.99
1121,1073.01
1122,1088.85
1123,1049.49
1124,1052.67
1125,1073.4301
1126,1084.5601
1127,1086.46
1128,1076.92
1129,1065.45
1130,1076.3199
1131,1091.48
1132,1093.14
1133,1100.96
1134,1107.83
1135,1125.17
1136,1124.47
1137,1126.0699
1138,1128.37
1139,1102.55
1140,1111.01
1141,1103.6899
1142,1130.47
1143,1117.8
1144,1125.29
1145,1122.73
1146,1126.34
1147,1125.4
1148,1136.76
1149,1146.54
1150,1147.39
1151,1144.58
1152,1138.49
1153,1131.87
1154,1148.7
1155,1153.59
1156,1151.85
1157,1170.29
1158,1165.55
1159,1166.16
1160,1153.04
1161,1154.09
1162,1165.58
1163,1168.26
1164,1164.3101
1165,1157.54
1166,1162.77
1167,1146.14
1168,1153.84
1169,1131.78
1170,1106.73
1171,1109.89
1172,1109.38
1173,1109.4301
1174,1089.84
1175,1080.95
1176,1097.98
1177,1083.34
1178,1104.1801
1179,1116.48
1180,1118.51
1181,1107.5
1182,1111.9399
1183,1096.22
1184,1080.17
1185,1083.51
1186,1090.02
1187,1094.4399
1188,1122.2
1189,1130.2
1190,1113.5699
1191,1100.64
1192,1133.0601
1193,1133.28
1194,1132.15
1195,1128.1801
1196,1119.3101
1197,1127.58
1198,1138.88
1199,1127.5699
1200,1146.1899
1201,1138.41
1202,1145.6
1203,1156.55
1204,1155.14
1205,1160.71
1206,1164.89
1207,1172.51
1208,1165.27
1209,1154.67
1210,1148.08
1211,1161.02
1212,1157.13
1213,1149.37
1214,1144.65
1215,1144.89
1216,1139.9301
1217,1149.5601
1218,1142.92
1219,1134.36
1220,1123.09
1221,1119.38
1222,1137.0699
1223,1136.76
1224,1139.9301
1225,1158.3101
1226,1167.1
1227,1170.35
1228,1143.77
1229,1129.9
1230,1139.45
1231,1140.2
1232,1128.52
1233,1149.5
1234,1157.42
1235,1150.34
1236,1137.03
1237,1142.66
1238,1151.0601
1239,1138.65
1240,1142.24
1241,1141.21
1242,1139.09
1243,1118.33
1244,1120.3101
1245,1118.54
1246,1115.8
1247,1118.86
1248,1102.84
1249,1087.2
1250,1084.1
1251,1059.78
1252,1059.79
1253,1078.3
1254,1104.61
1255,1100.09
1256,1085.2
1257,1084.78
1258,1089.9
1259,1073.48
1260,1068.61
1261,1077.09
1262,1097.54
1263,1089.98
1264,1091.65
1265,1097.4301
1266,1080.99
1267,1056.75
1268,1062.4399
1269,1071.37
1270,1069.62
1271,1072.28
1272,1051.33
1273,1038.55
1274,1040.9399
1275,1018.61
1276,1007.04
1277,1012.27
1278,1003.45
1279,965.8
1280,984.54
1281,1016.1
1282,1032.74
1283,1038.77
1284,1092.54
1285,1085.78
1286,1106.4
1287,1131.74
1288,1132.9399
1289,1133.58
1290,1129.03
1291,1148.6
1292,1161.51
1293,1179.21
1294,1184.9301
1295,1162.09
1296,1165.3101
1297,1157.26
1298,1171.41
1299,1161.97
1300,1181.66
1301,1178.02
1302,1186.73
1303,1191.29
1304,1190.16
1305,1183.4301
1306,1183.53
1307,1204.4
1308,1200.47
1309,1214.35
1310,1220.75
1311,1215.9301
1312,1211.23
1313,1204.52
1314,1205.8199
1315,1202.9301
1316,1190.49
1317,1171.65
1318,1191.03
1319,1210.85
1320,1215.02
1321,1207.71
1322,1214.4399
1323,1202.45
1324,1215.6801
1325,1208.14
1326,1180.1801
1327,1181.52
1328,1198.78
1329,1190.59
1330,1219.24
1331,1234.45
1332,1236.71
1333,1224.42
1334,1226.2
1335,1211.0699
1336,1216.76
1337,1218.6
1338,1225.35
1339,1237.04
1340,1223.14
1341,1212.58
1342,1208.4301
1343,1214.36
1344,1219.87
1345,1241.6
1346,1255.85
1347,1254.39
1348,1264.96
1349,1276.96
1350,1270.03
1351,1283.5699
1352,1267.11
1353,1260.67
1354,1255.8199
1355,1248.08
1356,1267.9301
1357,1277.89
1358,1293.17
1359,1289.05
1360,1309.38
1361,1312.83
1362,1291.96
1363,1288.49
1364,1284.99
1365,1249.4399
1366,1248.92
1367,1245.67
1368,1255.1801
1369,1255.54
1370,1261.2
1371,1266.71
1372,1266.61
1373,1248.58
1374,1267.4301
1375,1266.4399
1376,1249.46
1377,1253.05
1378,1234.52
1379,1228.75
1380,1209.47
1381,1224.36
1382,1242.98
1383,1253.7
1384,1238.16
1385,1191.8101
1386,1179.6801
1387,1183.5
1388,1165.89
1389,1168.38
1390,1137.59
1391,1128.4301
1392,1151.4399
1393,1103.25
1394,1106.46
1395,1145.87
1396,1160.33
1397,1147.95
1398,1153.29
1399,1182.17
1400,1152.6899
1401,1139.83
1402,1117.58
1403,1122.14
1404,1142.62
1405,1170.8101
1406,1150.53
1407,1173.5601
1408,1166.71
1409,1197.66
1410,1180.16
1411,1233.42
1412,1264.74
1413,1261.89
1414,1253.8
1415,1241.41
1416,1234.1801
1417,1241.23
1418,1239.9399
1419,1257.9399
1420,1267.65
1421,1245.86
1422,1252.8199
1423,1255.27
1424,1278.9399
1425,1301.53
1426,1326.61
1427,1315.92
1428,1318.8
1429,1330.3101
1430,1314.76
1431,1332.53
1432,1341.1
1433,1352.26
1434,1354.3101
1435,1349.47
1436,1373.47
1437,1366.01
1438,1373.73
1439,1364.17
1440,1354.92
1441,1357.51
1442,1364.3
1443,1360.4
1444,1342.9
1445,1342.54
1446,1347.97
1447,1329.89
1448,1326.65
1449,1318.3199
1450,1326.8199
1451,1313.27
1452,1300.8
1453,1295.86
1454,1298.35
1455,1333.34
1456,1347.5601
1457,1283.27
1458,1320.28
1459,1334.22
1460,1328.92
1461,1315.1899
1462,1305.97
1463,1274.86
1464,1264.74
1465,1305.6
1466,1322.96
1467,1312.15
1468,1340.9301
1469,1359.99
1470,1371.1801
1471,1380.2
1472,1369.89
1473,1343.55
1474,1351.46
1475,1376.54
1476,1324.97
1477,1315.1801
1478,1314.95
1479,1341.91
1480,1336.09
1481,1348.97
1482,1341.77
1483,1322.36
1484,1347.35
1485,1342.62
1486,1367.72
1487,1372.3199
1488,1389.8101
1489,1382.95
1490,1351.26
1491,1365.98
1492,1400.14
1493,1409.28
1494,1431.87
1495,1432.1899
1496,1428.76
1497,1428.3199
1498,1421.22
1499,1429.4
1500,1398.66
1501,1379.58
1502,1364.4399
1503,1364.9
1504,1398.13
1505,1395.78
1506,1396.9301
1507,1388.76
1508,1342.13
1509,1349.97
1510,1374.62
1511,1374.17
1512,1329.78
1513,1364.59
1514,1387.02
1515,1402.03
1516,1408.99
1517,1436.28
1518,1434.3199
1519,1426.46
1520,1436.23
1521,1436.52
1522,1458.29
1523,1426.5699
1524,1427.21
1525,1439.03
1526,1448.72
1527,1449.05
1528,1451.34
1529,1459.9
1530,1444.51
1531,1465.8101
1532,1480.87
1533,1484.91
1534,1481.99
1535,1489.26
1536,1494.5
1537,1502.51
1538,1492.25
1539,1507.08
1540,1520.77
1541,1517.6801
1542,1502.59
1543,1509.84
1544,1514.09
1545,1506.45
1546,1508.3101
1547,1505.97
1548,1498.13
1549,1499.48
1550,1491.72
1551,1496.0699
1552,1479.85
1553,1484.4301
1554,1491.5601
1555,1471.84
1556,1460.25
1557,1472.87
1558,1482.8
1559,1479.3199
1560,1462.9301
1561,1452.5601
1562,1438.7
1563,1438.1
1564,1430.83
1565,1419.89
1566,1449.62
1567,1452.42
1568,1474.47
1569,1464.29
1570,1480.1899
1571,1495.5699
1572,1481.96
1573,1493.74
1574,1510.49
1575,1509.98
1576,1495.84
1577,1492.92
1578,1480.88
1579,1475.62
1580,1478.9
1581,1456.67
1582,1446.23
1583,1469.54
1584,1454.6
1585,1442.39
1586,1454.8199
1587,1450.55
1588,1455.3101
1589,1441.48
1590,1452.1801
1591,1479.13
1592,1475.95
1593,1486.0
1594,1464.46
1595,1478.73
1596,1470.54
1597,1469.4399
1598,1446.0
1599,1456.95
1600,1461.67
1601,1471.36
1602,1457.84
1603,1467.63
1604,1477.26
1605,1448.8101
1606,1420.6
1607,1422.4399
1608,1378.02
1609,1381.52
1610,1399.05
1611,1373.86
1612,1400.72
1613,1406.95
1614,1437.21
1615,1447.8
1616,1466.04
1617,1452.36
1618,1420.96
1619,1407.8101
1620,1383.05
1621,1412.14
1622,1424.17
1623,1432.63
1624,1409.5699
1625,1415.1
1626,1446.29
1627,1468.25
1628,1452.4301
1629,1464.92
1630,1460.99
1631,1477.4399
1632,1429.86
1633,1434.54
1634,1427.47
1635,1441.61
1636,1401.4399
1637,1356.5601
1638,1440.51
1639,1467.17
1640,1500.59
1641,1504.46
1642,1516.35
1643,1501.34
1644,1487.37
1645,1494.73
1646,1505.98
1647,1498.58
1648,1487.92
1649,1508.52
1650,1507.73
1651,1523.86
1652,1527.46
1653,1527.35
1654,1500.64
1655,1493.87
1656,1456.63
1657,1464.47
1658,1458.47
1659,1392.15
1660,1359.15
1661,1383.62
1662,1395.0699
1663,1401.6899
1664,1366.7
1665,1355.62
1666,1391.28
1667,1409.17
1668,1381.76
1669,1379.1899
1670,1366.42
1671,1348.05
1672,1333.36
1673,1353.4301
1674,1360.6899
1675,1352.17
1676,1346.09
1677,1388.26
1678,1387.67
1679,1402.05
1680,1389.9399
1681,1387.12
1682,1416.83
1683,1411.7
1684,1441.72
1685,1424.24
1686,1424.37
1687,1424.97
1688,1409.12
1689,1409.28
1690,1394.46
1691,1360.16
1692,1398.5601
1693,1404.09
1694,1410.03
1695,1401.53
1696,1441.36
1697,1445.5699
1698,1455.9
1699,1455.14
1700,1465.15
1701,1449.6801
1702,1432.25
1703,1438.5601
1704,1457.6
1705,1441.47
1706,1403.45
1707,1402.11
1708,1399.42
1709,1455.22
1710,1469.25
